,Year,Mon,tmax,tmin
3084,1980,6,30.1,15.9
3085,1980,6,28.5,17.6
3086,1980,6,31.1,14.9
3087,1980,6,28.7,15.8
3088,1980,6,31.1,17.6
3089,1980,6,29.7,19.2
3090,1980,6,25.7,20.9
3091,1980,6,29.9,17.9
3092,1980,6,21.2,17.0
3093,1980,6,25.9,15.9
3094,1980,6,28.5,15.0
3095,1980,6,30.5,16.9
3096,1980,6,29.7,17.0
3097,1980,6,30.5,18.2
3098,1980,6,22.8,19.0
3099,1980,6,22.1,17.9
3100,1980,6,29.2,15.4
3101,1980,6,27.1,16.1
3102,1980,6,29.7,16.7
3103,1980,6,21.2,17.0
3104,1980,7,20.3,16.4
3105,1980,7,23.4,17.4
3106,1980,7,23.2,16.9
3107,1980,7,23.8,19.0
3108,1980,7,25.9,18.9
3109,1980,7,24.9,18.7
3110,1980,7,28.9,17.1
3111,1980,7,28.8,17.9
3112,1980,7,28.2,19.3
3113,1980,7,26.6,18.9
3114,1980,7,21.6,18.0
