,Year,Mon,tmax,tmin
3570,1980,11,12.8,3.9
3571,1980,11,15.7,4.5
3572,1980,11,18.7,6.3
3573,1980,11,18.2,7.3
3574,1980,11,9.7,3.0
3575,1980,11,12.6,0.2
3576,1980,11,14.5,2.6
3577,1980,11,16.3,4.7
3578,1980,11,18.6,5.9
3579,1980,11,19.8,7.5
3580,1980,11,17.8,7.1
3581,1980,11,16.3,10.4
3582,1980,11,15.3,10.9
3583,1980,11,15.5,9.2
3584,1980,11,17.1,6.9
3585,1980,11,15.3,6.8
3586,1980,11,12.0,7.3
3587,1980,11,14.4,4.4
3588,1980,11,12.0,6.4
3589,1980,11,15.7,8.2
3590,1980,11,14.4,3.9
3591,1980,11,16.5,4.9
3592,1980,12,13.6,3.7
3593,1980,12,13.0,5.1
3594,1980,12,11.7,-0.3
3595,1980,12,6.4,-0.8
3596,1980,12,9.2,-0.6
3597,1980,12,12.6,-0.1
3598,1980,12,12.4,0.4
3599,1980,12,9.4,-1.8
3600,1980,12,5.7,-0.1
3601,1980,12,12.2,1.8
3602,1980,12,15.8,4.7
3603,1980,12,4.7,-2.1
3604,1980,12,1.4,-3.2
3605,1980,12,5.9,-1.8
3606,1980,12,5.2,-0.9
3607,1980,12,5.7,0.6
3608,1980,12,8.5,-0.2
3609,1980,12,8.0,-0.6
3610,1980,12,6.3,1.2
3611,1980,12,3.8,-0.9
3612,1980,12,6.2,-2.5
3613,1980,12,8.5,-3.2
3614,1980,12,4.1,-0.1
3615,1980,12,6.6,-0.3
3616,1980,12,7.7,-0.8
3617,1980,12,4.6,-3.2
3618,1980,12,-0.9,-3.5
3619,1980,12,-0.5,-4.1
3620,1980,12,-0.7,-4.7
3621,1980,12,2.5,-4.2
3622,1980,12,5.4,-5.5
3623,1981,1,10.0,-2.2
3624,1981,1,-0.3,-3.4
3625,1981,1,-0.2,-4.1
3626,1981,1,0.7,-4.0
3627,1981,1,1.2,-3.3
3628,1981,1,1.4,-2.7
3629,1981,1,5.3,-3.7
3630,1981,1,6.4,-2.9
3631,1981,1,7.6,-2.2
3632,1981,1,3.2,-3.1
3633,1981,1,3.5,-3.3
3634,1981,1,5.8,-2.5
3635,1981,1,1.9,-3.1
3636,1981,1,5.7,-5.8
3637,1981,1,5.2,-2.3
3638,1981,1,1.0,-3.8
3639,1981,1,3.6,-6.2
3640,1981,1,6.5,-3.2
3641,1981,1,5.3,-1.7
3642,1981,1,4.6,-1.9
3643,1981,1,2.9,-3.5
3644,1981,1,2.9,-5.7
3645,1981,1,7.0,-6.3
3646,1981,1,6.7,-0.3
3647,1981,1,2.3,-3.5
3648,1981,1,0.4,-4.0
3649,1981,1,3.8,-4.5
3650,1981,1,5.0,-4.8
3651,1981,1,5.4,-3.2
3652,1981,1,5.6,-3.7
3653,1981,1,3.6,-1.7
3654,1981,2,6.7,-2.2
3655,1981,2,6.8,-4.0
3656,1981,2,3.2,-2.7
3657,1981,2,4.3,-3.8
3658,1981,2,6.4,-4.9
3659,1981,2,6.8,-2.4
3660,1981,2,5.6,-2.0
3661,1981,2,9.2,-2.2
3662,1981,2,8.5,0.8
3663,1981,2,8.4,-0.6
3664,1981,2,7.6,-1.9
3665,1981,2,6.1,-1.4
3666,1981,2,7.8,4.8
3667,1981,2,10.9,3.5
3668,1981,2,14.9,3.0
3669,1981,2,10.4,3.8
3670,1981,2,7.1,2.5
3671,1981,2,10.6,-0.3
3672,1981,2,7.9,0.8
3673,1981,2,5.4,-0.2
3674,1981,2,6.7,-1.7
3675,1981,2,8.9,-0.8
3676,1981,2,9.1,4.0
3677,1981,2,5.7,-1.9
